Commodity,Variety,Origin,Grade,Size,Shell
Almonds,Nonpareil,California,U.S. Standard Sheller Run,18/20,Shelled
Almonds,Nonpareil,California,U.S. Standard Sheller Run,20/22,Shelled
Almonds,Nonpareil,California,U.S. Standard Sheller Run,22/24,Shelled
Almonds,Nonpareil,California,U.S. Standard Sheller Run,23/25,Shelled
Almonds,Nonpareil,California,U.S. Standard Sheller Run,24/26,Shelled
Almonds,Nonpareil,California,U.S. Standard Sheller Run,26/28,Shelled
Almonds,Nonpareil,California,U.S. Standard Sheller Run,27/30,Shelled
Almonds,Nonpareil,California,U.S. Standard Sheller Run,30/34,Shelled
Almonds,Nonpareil,California,U.S. Standard Sheller Run,34/40,Shelled
Almonds,Nonpareil,California,U.S. Standard Sheller Run,40/50,Shelled
Almonds,Nonpareil,California,U.S. Standard Sheller Run,50 AOS,Shelled
Almonds,Nonpareil,California,U.S. Standard Sheller Run,UNS,Shelled
Almonds,Carmel,California,U.S. Extra No. 1,16/18,Shelled
Almonds,Carmel,California,U.S. Extra No. 1,18/20,Shelled
Almonds,Carmel,California,U.S. Extra No. 1,20/22,Shelled
Almonds,Carmel,California,U.S. Extra No. 1,22/24,Shelled
Almonds,Carmel,California,U.S. Extra No. 1,23/25,Shelled
Almonds,Carmel,California,U.S. Extra No. 1,24/26,Shelled
Almonds,Carmel,California,U.S. Extra No. 1,26/28,Shelled
Almonds,Carmel,California,U.S. Extra No. 1,27/30,Shelled
Almonds,Carmel,California,U.S. Extra No. 1,30/34,Shelled
Almonds,Carmel,California,U.S. Extra No. 1,34/40,Shelled
Almonds,Carmel,California,U.S. Extra No. 1,40/50,Shelled
Almonds,Carmel,California,U.S. Extra No. 1,50 AOS,Shelled
Almonds,Carmel,California,U.S. Extra No. 1,UNS,Shelled
Almonds,Carmel,California,U.S. No. 1,16/18,Shelled
Almonds,Carmel,California,U.S. No. 1,18/20,Shelled
Almonds,Carmel,California,U.S. No. 1,20/22,Shelled
Almonds,Carmel,California,U.S. No. 1,22/24,Shelled
Almonds,Carmel,California,U.S. No. 1,23/25,Shelled
Almonds,Carmel,California,U.S. No. 1,24/26,Shelled
Almonds,Carmel,California,U.S. No. 1,26/28,Shelled
Almonds,Carmel,California,U.S. No. 1,27/30,Shelled
Almonds,Carmel,California,U.S. No. 1,30/34,Shelled
Almonds,Carmel,California,U.S. No. 1,34/40,Shelled
Almonds,Carmel,California,U.S. No. 1,40/50,Shelled
Almonds,Carmel,California,U.S. No. 1,50 AOS,Shelled
Almonds,Carmel,California,U.S. No. 1,UNS,Shelled
Almonds,Carmel,California,U.S. Select Sheller Run,16/18,Shelled
Almonds,Carmel,California,U.S. Select Sheller Run,18/20,Shelled
Almonds,Carmel,California,U.S. Select Sheller Run,20/22,Shelled
Almonds,Carmel,California,U.S. Select Sheller Run,22/24,Shelled
Almonds,Carmel,California,U.S. Select Sheller Run,23/25,Shelled
Almonds,Carmel,California,U.S. Select Sheller Run,24/26,Shelled
Almonds,Carmel,California,U.S. Select Sheller Run,26/28,Shelled
Almonds,Carmel,California,U.S. Select Sheller Run,27/30,Shelled
Almonds,Carmel,California,U.S. Select Sheller Run,30/34,Shelled
Almonds,Carmel,California,U.S. Select Sheller Run,34/40,Shelled
Almonds,Carmel,California,U.S. Select Sheller Run,40/50,Shelled
Almonds,Carmel,California,U.S. Select Sheller Run,50 AOS,Shelled
Almonds,Carmel,California,U.S. Select Sheller Run,UNS,Shelled
Almonds,Carmel,California,U.S. Standard Sheller Run,16/18,Shelled
Almonds,Carmel,California,U.S. Standard Sheller Run,18/20,Shelled
Almonds,Carmel,California,U.S. Standard Sheller Run,20/22,Shelled
Almonds,Carmel,California,U.S. Standard Sheller Run,22/24,Shelled
Almonds,Carmel,California,U.S. Standard Sheller Run,23/25,Shelled
Almonds,Carmel,California,U.S. Standard Sheller Run,24/26,Shelled
Almonds,Carmel,California,U.S. Standard Sheller Run,26/28,Shelled
Almonds,Carmel,California,U.S. Standard Sheller Run,27/30,Shelled
Almonds,Carmel,California,U.S. Standard Sheller Run,30/34,Shelled
Almonds,Carmel,California,U.S. Standard Sheller Run,34/40,Shelled
Almonds,Carmel,California,U.S. Standard Sheller Run,40/50,Shelled
Almonds,Carmel,California,U.S. Standard Sheller Run,50 AOS,Shelled
Almonds,Carmel,California,U.S. Standard Sheller Run,UNS,Shelled
Almonds,Butte,California,U.S. Extra No. 1,16/18,Shelled
Almonds,Butte,California,U.S. Extra No. 1,18/20,Shelled
Almonds,Butte,California,U.S. Extra No. 1,20/22,Shelled
Almonds,Butte,California,U.S. Extra No. 1,22/24,Shelled
Almonds,Butte,California,U.S. Extra No. 1,23/25,Shelled
Almonds,Butte,California,U.S. Extra No. 1,24/26,Shelled
Almonds,Butte,California,U.S. Extra No. 1,26/28,Shelled
Almonds,Butte,California,U.S. Extra No. 1,27/30,Shelled
Almonds,Butte,California,U.S. Extra No. 1,30/34,Shelled
Almonds,Butte,California,U.S. Extra No. 1,34/40,Shelled
Almonds,Butte,California,U.S. Extra No. 1,40/50,Shelled
Almonds,Butte,California,U.S. Extra No. 1,50 AOS,Shelled
Almonds,Butte,California,U.S. Extra No. 1,UNS,Shelled
Almonds,Butte,California,U.S. No. 1,16/18,Shelled
Almonds,Butte,California,U.S. No. 1,18/20,Shelled
Almonds,Butte,California,U.S. No. 1,20/22,Shelled
Almonds,Butte,California,U.S. No. 1,22/24,Shelled
Almonds,Butte,California,U.S. No. 1,23/25,Shelled
Almonds,Butte,California,U.S. No. 1,24/26,Shelled
Almonds,Butte,California,U.S. No. 1,26/28,Shelled
Almonds,Butte,California,U.S. No. 1,27/30,Shelled
Almonds,Butte,California,U.S. No. 1,30/34,Shelled
Almonds,Butte,California,U.S. No. 1,34/40,Shelled
Almonds,Butte,California,U.S. No. 1,40/50,Shelled
Almonds,Butte,California,U.S. No. 1,50 AOS,Shelled
Almonds,Butte,California,U.S. No. 1,UNS,Shelled
Almonds,Butte,California,U.S. Select Sheller Run,16/18,Shelled
Almonds,Butte,California,U.S. Select Sheller Run,18/20,Shelled
Almonds,Butte,California,U.S. Select Sheller Run,20/22,Shelled
Almonds,Butte,California,U.S. Select Sheller Run,22/24,Shelled
Almonds,Butte,California,U.S. Select Sheller Run,23/25,Shelled
Almonds,Butte,California,U.S. Select Sheller Run,24/26,Shelled
Almonds,Butte,California,U.S. Select Sheller Run,26/28,Shelled
Almonds,Butte,California,U.S. Select Sheller Run,27/30,Shelled
Almonds,Butte,California,U.S. Select Sheller Run,30/34,Shelled
Almonds,Butte,California,U.S. Select Sheller Run,34/40,Shelled
Almonds,Butte,California,U.S. Select Sheller Run,40/50,Shelled
Almonds,Butte,California,U.S. Select Sheller Run,50 AOS,Shelled
Almonds,Butte,California,U.S. Select Sheller Run,UNS,Shelled
Almonds,Butte,California,U.S. Standard Sheller Run,16/18,Shelled
Almonds,Butte,California,U.S. Standard Sheller Run,18/20,Shelled
Almonds,Butte,California,U.S. Standard Sheller Run,20/22,Shelled
Almonds,Butte,California,U.S. Standard Sheller Run,22/24,Shelled
Almonds,Butte,California,U.S. Standard Sheller Run,23/25,Shelled
Almonds,Butte,California,U.S. Standard Sheller Run,24/26,Shelled
Almonds,Butte,California,U.S. Standard Sheller Run,26/28,Shelled
Almonds,Butte,California,U.S. Standard Sheller Run,27/30,Shelled
Almonds,Butte,California,U.S. Standard Sheller Run,30/34,Shelled
Almonds,Butte,California,U.S. Standard Sheller Run,34/40,Shelled
Almonds,Butte,California,U.S. Standard Sheller Run,40/50,Shelled
Almonds,Butte,California,U.S. Standard Sheller Run,50 AOS,Shelled
Almonds,Butte,California,U.S. Standard Sheller Run,UNS,Shelled
Almonds,Padre,California,U.S. Extra No. 1,16/18,Shelled
Almonds,Padre,California,U.S. Extra No. 1,18/20,Shelled
Almonds,Padre,California,U.S. Extra No. 1,20/22,Shelled
Almonds,Padre,California,U.S. Extra No. 1,22/24,Shelled
Almonds,Padre,California,U.S. Extra No. 1,23/25,Shelled
Almonds,Padre,California,U.S. Extra No. 1,24/26,Shelled
Almonds,Padre,California,U.S. Extra No. 1,26/28,Shelled
Almonds,Padre,California,U.S. Extra No. 1,27/30,Shelled
Almonds,Padre,California,U.S. Extra No. 1,30/34,Shelled
Almonds,Padre,California,U.S. Extra No. 1,34/40,Shelled
Almonds,Padre,California,U.S. Extra No. 1,40/50,Shelled
Almonds,Padre,California,U.S. Extra No. 1,50 AOS,Shelled
Almonds,Padre,California,U.S. Extra No. 1,UNS,Shelled
Almonds,Padre,California,U.S. No. 1,16/18,Shelled
Almonds,Padre,California,U.S. No. 1,18/20,Shelled
Almonds,Padre,California,U.S. No. 1,20/22,Shelled
Almonds,Padre,California,U.S. No. 1,22/24,Shelled
Almonds,Padre,California,U.S. No. 1,23/25,Shelled
Almonds,Padre,California,U.S. No. 1,24/26,Shelled
Almonds,Padre,California,U.S. No. 1,26/28,Shelled
Almonds,Padre,California,U.S. No. 1,27/30,Shelled
Almonds,Padre,California,U.S. No. 1,30/34,Shelled
Almonds,Padre,California,U.S. No. 1,34/40,Shelled
Almonds,Padre,California,U.S. No. 1,40/50,Shelled
Almonds,Padre,California,U.S. No. 1,50 AOS,Shelled
Almonds,Padre,California,U.S. No. 1,UNS,Shelled
Almonds,Padre,California,U.S. Select Sheller Run,16/18,Shelled
Almonds,Padre,California,U.S. Select Sheller Run,18/20,Shelled
Almonds,Padre,California,U.S. Select Sheller Run,20/22,Shelled
Almonds,Padre,California,U.S. Select Sheller Run,22/24,Shelled
Almonds,Padre,California,U.S. Select Sheller Run,23/25,Shelled
Almonds,Padre,California,U.S. Select Sheller Run,24/26,Shelled
Almonds,Padre,California,U.S. Select Sheller Run,26/28,Shelled
Almonds,Padre,California,U.S. Select Sheller Run,27/30,Shelled
Almonds,Padre,California,U.S. Select Sheller Run,30/34,Shelled
Almonds,Padre,California,U.S. Select Sheller Run,34/40,Shelled
Almonds,Padre,California,U.S. Select Sheller Run,40/50,Shelled
Almonds,Padre,California,U.S. Select Sheller Run,50 AOS,Shelled
Almonds,Padre,California,U.S. Select Sheller Run,UNS,Shelled
Almonds,Padre,California,U.S. Standard Sheller Run,16/18,Shelled
Almonds,Padre,California,U.S. Standard Sheller Run,18/20,Shelled
Almonds,Padre,California,U.S. Standard Sheller Run,20/22,Shelled
Almonds,Padre,California,U.S. Standard Sheller Run,22/24,Shelled
Almonds,Padre,California,U.S. Standard Sheller Run,23/25,Shelled
Almonds,Padre,California,U.S. Standard Sheller Run,24/26,Shelled
Almonds,Padre,California,U.S. Standard Sheller Run,26/28,Shelled
Almonds,Padre,California,U.S. Standard Sheller Run,27/30,Shelled
Almonds,Padre,California,U.S. Standard Sheller Run,30/34,Shelled
Almonds,Padre,California,U.S. Standard Sheller Run,34/40,Shelled
Almonds,Padre,California,U.S. Standard Sheller Run,40/50,Shelled
Almonds,Padre,California,U.S. Standard Sheller Run,50 AOS,Shelled
Almonds,Padre,California,U.S. Standard Sheller Run,UNS,Shelled
Almonds,Mission,California,U.S. Extra No. 1,16/18,Shelled
Almonds,Mission,California,U.S. Extra No. 1,18/20,Shelled
Almonds,Mission,California,U.S. Extra No. 1,20/22,Shelled
Almonds,Mission,California,U.S. Extra No. 1,22/24,Shelled
Almonds,Mission,California,U.S. Extra No. 1,23/25,Shelled
Almonds,Mission,California,U.S. Extra No. 1,24/26,Shelled
Almonds,Mission,California,U.S. Extra No. 1,26/28,Shelled
Almonds,Mission,California,U.S. Extra No. 1,27/30,Shelled
Almonds,Mission,California,U.S. Extra No. 1,30/34,Shelled
Almonds,Mission,California,U.S. Extra No. 1,34/40,Shelled
Almonds,Mission,California,U.S. Extra No. 1,40/50,Shelled
Almonds,Mission,California,U.S. Extra No. 1,50 AOS,Shelled
Almonds,Mission,California,U.S. Extra No. 1,UNS,Shelled
Almonds,Mission,California,U.S. No. 1,16/18,Shelled
Almonds,Mission,California,U.S. No. 1,18/20,Shelled
Almonds,Mission,California,U.S. No. 1,20/22,Shelled
Almonds,Mission,California,U.S. No. 1,22/24,Shelled
Almonds,Mission,California,U.S. No. 1,23/25,Shelled
Almonds,Mission,California,U.S. No. 1,24/26,Shelled
Almonds,Mission,California,U.S. No. 1,26/28,Shelled
Almonds,Mission,California,U.S. No. 1,27/30,Shelled
Almonds,Mission,California,U.S. No. 1,30/34,Shelled
Almonds,Mission,California,U.S. No. 1,34/40,Shelled
Almonds,Mission,California,U.S. No. 1,40/50,Shelled
Almonds,Mission,California,U.S. No. 1,50 AOS,Shelled
Almonds,Mission,California,U.S. No. 1,UNS,Shelled
Almonds,Mission,California,U.S. Select Sheller Run,16/18,Shelled
Almonds,Mission,California,U.S. Select Sheller Run,18/20,Shelled
Almonds,Mission,California,U.S. Select Sheller Run,20/22,Shelled
Almonds,Mission,California,U.S. Select Sheller Run,22/24,Shelled
Almonds,Mission,California,U.S. Select Sheller Run,23/25,Shelled
Almonds,Mission,California,U.S. Select Sheller Run,24/26,Shelled
Almonds,Mission,California,U.S. Select Sheller Run,26/28,Shelled
Almonds,Mission,California,U.S. Select Sheller Run,27/30,Shelled
Almonds,Mission,California,U.S. Select Sheller Run,30/34,Shelled
Almonds,Mission,California,U.S. Select Sheller Run,34/40,Shelled
Almonds,Mission,California,U.S. Select Sheller Run,40/50,Shelled
Almonds,Mission,California,U.S. Select Sheller Run,50 AOS,Shelled
Almonds,Mission,California,U.S. Select Sheller Run,UNS,Shelled
Almonds,Mission,California,U.S. Standard Sheller Run,16/18,Shelled
Almonds,Mission,California,U.S. Standard Sheller Run,18/20,Shelled
Almonds,Mission,California,U.S. Standard Sheller Run,20/22,Shelled
Almonds,Mission,California,U.S. Standard Sheller Run,22/24,Shelled
Almonds,Mission,California,U.S. Standard Sheller Run,23/25,Shelled
Almonds,Mission,California,U.S. Standard Sheller Run,24/26,Shelled
Almonds,Mission,California,U.S. Standard Sheller Run,26/28,Shelled
Almonds,Mission,California,U.S. Standard Sheller Run,27/30,Shelled
Almonds,Mission,California,U.S. Standard Sheller Run,30/34,Shelled
Almonds,Mission,California,U.S. Standard Sheller Run,34/40,Shelled
Almonds,Mission,California,U.S. Standard Sheller Run,40/50,Shelled
Almonds,Mission,California,U.S. Standard Sheller Run,50 AOS,Shelled
Almonds,Mission,California,U.S. Standard Sheller Run,UNS,Shelled
Almonds,Monterey,California,U.S. Extra No. 1,16/18,Shelled
Almonds,Monterey,California,U.S. Extra No. 1,18/20,Shelled
Almonds,Monterey,California,U.S. Extra No. 1,20/22,Shelled
Almonds,Monterey,California,U.S. Extra No. 1,22/24,Shelled
Almonds,Monterey,California,U.S. Extra No. 1,23/25,Shelled
Almonds,Monterey,California,U.S. Extra No. 1,24/26,Shelled
Almonds,Monterey,California,U.S. Extra No. 1,26/28,Shelled
Almonds,Monterey,California,U.S. Extra No. 1,27/30,Shelled
Almonds,Monterey,California,U.S. Extra No. 1,30/34,Shelled
Almonds,Monterey,California,U.S. Extra No. 1,34/40,Shelled
Almonds,Monterey,California,U.S. Extra No. 1,40/50,Shelled
Almonds,Monterey,California,U.S. Extra No. 1,50 AOS,Shelled
Almonds,Monterey,California,U.S. Extra No. 1,UNS,Shelled
Almonds,Monterey,California,U.S. No. 1,16/18,Shelled
Almonds,Monterey,California,U.S. No. 1,18/20,Shelled
Almonds,Monterey,California,U.S. No. 1,20/22,Shelled
Almonds,Monterey,California,U.S. No. 1,22/24,Shelled
Almonds,Monterey,California,U.S. No. 1,23/25,Shelled
Almonds,Monterey,California,U.S. No. 1,24/26,Shelled
Almonds,Monterey,California,U.S. No. 1,26/28,Shelled
Almonds,Monterey,California,U.S. No. 1,27/30,Shelled
Almonds,Monterey,California,U.S. No. 1,30/34,Shelled
Almonds,Monterey,California,U.S. No. 1,34/40,Shelled
Almonds,Monterey,California,U.S. No. 1,40/50,Shelled
Almonds,Monterey,California,U.S. No. 1,50 AOS,Shelled
Almonds,Monterey,California,U.S. No. 1,UNS,Shelled
Almonds,Monterey,California,U.S. Select Sheller Run,16/18,Shelled
Almonds,Monterey,California,U.S. Select Sheller Run,18/20,Shelled
Almonds,Monterey,California,U.S. Select Sheller Run,20/22,Shelled
Almonds,Monterey,California,U.S. Select Sheller Run,22/24,Shelled
Almonds,Monterey,California,U.S. Select Sheller Run,23/25,Shelled
Almonds,Monterey,California,U.S. Select Sheller Run,24/26,Shelled
Almonds,Monterey,California,U.S. Select Sheller Run,26/28,Shelled
Almonds,Monterey,California,U.S. Select Sheller Run,27/30,Shelled
Almonds,Monterey,California,U.S. Select Sheller Run,30/34,Shelled
Almonds,Monterey,California,U.S. Select Sheller Run,34/40,Shelled
Almonds,Monterey,California,U.S. Select Sheller Run,40/50,Shelled
Almonds,Monterey,California,U.S. Select Sheller Run,50 AOS,Shelled
Almonds,Monterey,California,U.S. Select Sheller Run,UNS,Shelled
Almonds,Monterey,California,U.S. Standard Sheller Run,16/18,Shelled
Almonds,Monterey,California,U.S. Standard Sheller Run,18/20,Shelled
Almonds,Monterey,California,U.S. Standard Sheller Run,20/22,Shelled
Almonds,Monterey,California,U.S. Standard Sheller Run,22/24,Shelled
Almonds,Monterey,California,U.S. Standard Sheller Run,23/25,Shelled
Almonds,Monterey,California,U.S. Standard Sheller Run,24/26,Shelled
Almonds,Monterey,California,U.S. Standard Sheller Run,26/28,Shelled
Almonds,Monterey,California,U.S. Standard Sheller Run,27/30,Shelled
Almonds,Monterey,California,U.S. Standard Sheller Run,30/34,Shelled
Almonds,Monterey,California,U.S. Standard Sheller Run,34/40,Shelled
Almonds,Monterey,California,U.S. Standard Sheller Run,40/50,Shelled
Almonds,Monterey,California,U.S. Standard Sheller Run,50 AOS,Shelled
Almonds,Monterey,California,U.S. Standard Sheller Run,UNS,Shelled
Almonds,Sonora,California,U.S. Extra No. 1,16/18,Shelled
Almonds,Sonora,California,U.S. Extra No. 1,18/20,Shelled
Almonds,Sonora,California,U.S. Extra No. 1,20/22,Shelled
Almonds,Sonora,California,U.S. Extra No. 1,22/24,Shelled
Almonds,Sonora,California,U.S. Extra No. 1,23/25,Shelled
Almonds,Sonora,California,U.S. Extra No. 1,24/26,Shelled
Almonds,Sonora,California,U.S. Extra No. 1,26/28,Shelled
Almonds,Sonora,California,U.S. Extra No. 1,27/30,Shelled
Almonds,Sonora,California,U.S. Extra No. 1,30/34,Shelled
Almonds,Sonora,California,U.S. Extra No. 1,34/40,Shelled
Almonds,Sonora,California,U.S. Extra No. 1,40/50,Shelled
Almonds,Sonora,California,U.S. Extra No. 1,50 AOS,Shelled
Almonds,Sonora,California,U.S. Extra No. 1,UNS,Shelled
Almonds,Sonora,California,U.S. No. 1,16/18,Shelled
Almonds,Sonora,California,U.S. No. 1,18/20,Shelled
Almonds,Sonora,California,U.S. No. 1,20/22,Shelled
Almonds,Sonora,California,U.S. No. 1,22/24,Shelled
Almonds,Sonora,California,U.S. No. 1,23/25,Shelled
Almonds,Sonora,California,U.S. No. 1,24/26,Shelled
Almonds,Sonora,California,U.S. No. 1,26/28,Shelled
Almonds,Sonora,California,U.S. No. 1,27/30,Shelled
Almonds,Sonora,California,U.S. No. 1,30/34,Shelled
Almonds,Sonora,California,U.S. No. 1,34/40,Shelled
Almonds,Sonora,California,U.S. No. 1,40/50,Shelled
Almonds,Sonora,California,U.S. No. 1,50 AOS,Shelled
Almonds,Sonora,California,U.S. No. 1,UNS,Shelled
Almonds,Sonora,California,U.S. Select Sheller Run,16/18,Shelled
Almonds,Sonora,California,U.S. Select Sheller Run,18/20,Shelled
Almonds,Sonora,California,U.S. Select Sheller Run,20/22,Shelled
Almonds,Sonora,California,U.S. Select Sheller Run,22/24,Shelled
Almonds,Sonora,California,U.S. Select Sheller Run,23/25,Shelled
Almonds,Sonora,California,U.S. Select Sheller Run,24/26,Shelled
Almonds,Sonora,California,U.S. Select Sheller Run,26/28,Shelled
Almonds,Sonora,California,U.S. Select Sheller Run,27/30,Shelled
Almonds,Sonora,California,U.S. Select Sheller Run,30/34,Shelled
Almonds,Sonora,California,U.S. Select Sheller Run,34/40,Shelled
Almonds,Sonora,California,U.S. Select Sheller Run,40/50,Shelled
Almonds,Sonora,California,U.S. Select Sheller Run,50 AOS,Shelled
Almonds,Sonora,California,U.S. Select Sheller Run,UNS,Shelled
Almonds,Sonora,California,U.S. Standard Sheller Run,16/18,Shelled
Almonds,Sonora,California,U.S. Standard Sheller Run,18/20,Shelled
Almonds,Sonora,California,U.S. Standard Sheller Run,20/22,Shelled
Almonds,Sonora,California,U.S. Standard Sheller Run,22/24,Shelled
Almonds,Sonora,California,U.S. Standard Sheller Run,23/25,Shelled
Almonds,Sonora,California,U.S. Standard Sheller Run,24/26,Shelled
Almonds,Sonora,California,U.S. Standard Sheller Run,26/28,Shelled
Almonds,Sonora,California,U.S. Standard Sheller Run,27/30,Shelled
Almonds,Sonora,California,U.S. Standard Sheller Run,30/34,Shelled
Almonds,Sonora,California,U.S. Standard Sheller Run,34/40,Shelled
Almonds,Sonora,California,U.S. Standard Sheller Run,40/50,Shelled
Almonds,Sonora,California,U.S. Standard Sheller Run,50 AOS,Shelled
Almonds,Sonora,California,U.S. Standard Sheller Run,UNS,Shelled
Almonds,Fritz,California,U.S. Extra No. 1,16/18,Shelled
Almonds,Fritz,California,U.S. Extra No. 1,18/20,Shelled
Almonds,Fritz,California,U.S. Extra No. 1,20/22,Shelled
Almonds,Fritz,California,U.S. Extra No. 1,22/24,Shelled
Almonds,Fritz,California,U.S. Extra No. 1,23/25,Shelled
Almonds,Fritz,California,U.S. Extra No. 1,24/26,Shelled
Almonds,Fritz,California,U.S. Extra No. 1,26/28,Shelled
Almonds,Fritz,California,U.S. Extra No. 1,27/30,Shelled
Almonds,Fritz,California,U.S. Extra No. 1,30/34,Shelled
Almonds,Fritz,California,U.S. Extra No. 1,34/40,Shelled
Almonds,Fritz,California,U.S. Extra No. 1,40/50,Shelled
Almonds,Fritz,California,U.S. Extra No. 1,50 AOS,Shelled
Almonds,Fritz,California,U.S. Extra No. 1,UNS,Shelled
Almonds,Fritz,California,U.S. No. 1,16/18,Shelled
Almonds,Fritz,California,U.S. No. 1,18/20,Shelled
Almonds,Fritz,California,U.S. No. 1,20/22,Shelled
Almonds,Fritz,California,U.S. No. 1,22/24,Shelled
Almonds,Fritz,California,U.S. No. 1,23/25,Shelled
Almonds,Fritz,California,U.S. No. 1,24/26,Shelled
Almonds,Fritz,California,U.S. No. 1,26/28,Shelled
Almonds,Fritz,California,U.S. No. 1,27/30,Shelled
Almonds,Fritz,California,U.S. No. 1,30/34,Shelled
Almonds,Fritz,California,U.S. No. 1,34/40,Shelled
Almonds,Fritz,California,U.S. No. 1,40/50,Shelled
Almonds,Fritz,California,U.S. No. 1,50 AOS,Shelled
Almonds,Fritz,California,U.S. No. 1,UNS,Shelled
Almonds,Fritz,California,U.S. Select Sheller Run,16/18,Shelled
Almonds,Fritz,California,U.S. Select Sheller Run,18/20,Shelled
Almonds,Fritz,California,U.S. Select Sheller Run,20/22,Shelled
Almonds,Fritz,California,U.S. Select Sheller Run,22/24,Shelled
Almonds,Fritz,California,U.S. Select Sheller Run,23/25,Shelled
Almonds,Fritz,California,U.S. Select Sheller Run,24/26,Shelled
Almonds,Fritz,California,U.S. Select Sheller Run,26/28,Shelled
Almonds,Fritz,California,U.S. Select Sheller Run,27/30,Shelled
Almonds,Fritz,California,U.S. Select Sheller Run,30/34,Shelled
Almonds,Fritz,California,U.S. Select Sheller Run,34/40,Shelled
Almonds,Fritz,California,U.S. Select Sheller Run,40/50,Shelled
Almonds,Fritz,California,U.S. Select Sheller Run,50 AOS,Shelled
Almonds,Fritz,California,U.S. Select Sheller Run,UNS,Shelled
Almonds,Fritz,California,U.S. Standard Sheller Run,16/18,Shelled
Almonds,Fritz,California,U.S. Standard Sheller Run,18/20,Shelled
Almonds,Fritz,California,U.S. Standard Sheller Run,20/22,Shelled
Almonds,Fritz,California,U.S. Standard Sheller Run,22/24,Shelled
Almonds,Fritz,California,U.S. Standard Sheller Run,23/25,Shelled
Almonds,Fritz,California,U.S. Standard Sheller Run,24/26,Shelled
Almonds,Fritz,California,U.S. Standard Sheller Run,26/28,Shelled
Almonds,Fritz,California,U.S. Standard Sheller Run,27/30,Shelled
Almonds,Fritz,California,U.S. Standard Sheller Run,30/34,Shelled
Almonds,Fritz,California,U.S. Standard Sheller Run,34/40,Shelled
Almonds,Fritz,California,U.S. Standard Sheller Run,40/50,Shelled
Almonds,Fritz,California,U.S. Standard Sheller Run,50 AOS,Shelled
Almonds,Fritz,California,U.S. Standard Sheller Run,UNS,Shelled
Almonds,Price,California,U.S. Extra No. 1,16/18,Shelled
Almonds,Price,California,U.S. Extra No. 1,18/20,Shelled
